merchant,description,category
COURSERA PURCHASE $335.77,,Education
Apple,Necklace,Shopping
Tax Preparer,,Other
Macy's,,Shopping
Metro,यात्रा,Transport
Gojek,Inspection,Transport
Storage,различные,Other
Books-A-Million,,Shopping
Cava,Dessert,Food & Drink
Warehouse,,Other
PAYPAL TRANSFER $7304.96 Rental property,,Income
DIRECT DEPOSIT PAYROLL $2009.07,,Income
Budget,,Transport
Medical equipment,,Healthcare
Tidal,Pedicure,Entertainment
MetLife,,Bills & Utilities
Psychiatrist,مستشفى,Healthcare
MAINTENANCE Booking.com $1617.47,,Housing
VENMO CASHOUT $6307.71 Insurance payout,,Income
Temu,zuhause,Shopping
DIRECT DEPOSIT PAYROLL $3179.87,,Income
Streaming service,Gallery exhibition,Entertainment
El Pollo Loco,Deli order,Food & Drink
Azure Certification,Test preparation,Education
Gmail,Security system,Bills & Utilities
Udemy,школа,Education
Genki Sushi,Catering order,Food & Drink
Prescription,Dental work,Healthcare
UPS SHIPPING $1.88 Donation,,Other
New Balance,Birthday gift,Shopping
TICKETMASTER $81.72 Live music,,Entertainment
Pest Control,,Housing
STATE TREASURY REFUND,,Income
XBOX LIVE $136.62 Fair,,Entertainment
PARKING LOS ANGELES $371.96,,Transport
EA Play,,Entertainment
LIVE NATION $178.96,,Entertainment
STEAM PURCHASE $189.38,,Entertainment
Burger King STORE #8791 PURCHASE,,Food & Drink
UBER *TRIP $627.89 Parking weekly,,Transport
RENT PAYMENT $1957.08,,Housing
RECURRING PAYMENT Gym Membership,,Bills & Utilities
Dance Classes,,Education
Box,보험,Bills & Utilities
GOVERNMENT PAYMENT $114.31,,Other
ER visit,Medical supplies,Healthcare
Barron's,,Education
PetCare,Consultation,Healthcare
Greyhound,,Transport
Cisco Learning,本,Education
State Farm,abonnement,Bills & Utilities
Dollar General,Electronics,Shopping
Commission,دخل,Income
STATE TREASURY REFUND Direct deposit,,Income
CPA,Dry cleaning,Other
Crypto Exchange,Dividend payment,Income
Hawaiian Airlines,Car wash,Transport
Red Cross,Penalty,Other
Netflix,,Bills & Utilities
CubeSmart,Lease payment,Housing
MORTGAGE PAYMENT $2699.44 Security deposit,,Housing
Naan Stop,Wine,Food & Drink
PLAYSTATION STORE $30.34,,Entertainment
Camera equipment,,Entertainment
GEICO PAYMENT $326.47 Wireless service,,Bills & Utilities
DIVIDEND ETSY $8425.43,,Income
FEDEx SHIPPING $69.16,,Other
Home Warranty,Garden,Housing
DELTA AIR LINES $121.24 Charging,,Transport
Freelancer.com,,Income
Instagram,,Entertainment
STATE FARM INS $164.54 Broadband,,Bills & Utilities
AMC THEATRES CHICAGO $69.92,,Entertainment
Transit Authority,,Transport
COURSERA PURCHASE $1599.64 Swimming lesson,,Education
PHARMACY PURCHASE $1459.37 Follow-up,,Healthcare
Amtrak,Train ticket,Transport
Retail Purchase,,Shopping
MAINTENANCE Roofing $1784.81 Security,,Housing
Flipkart,,Shopping
HOA DUES $2792.69,,Housing
Azure Certification,,Education
Neiman Marcus,Makeup,Shopping
HOME DEPOT #8443 $767.11,,Housing
FEDEx SHIPPING $82.14 Kennel,,Other
GOVERNMENT PAYMENT $40.13,,Other
APPLE STORE PURCHASE $413.34 Sneakers,,Shopping
Ring Doorbell,Monthly rent,Housing
NETFLIX.COM $167.92,,Entertainment
WALGREENS #1659 $619.91,,Healthcare
Content subscription,بث,Entertainment
Grubhub Order,,Food & Drink
Pawn Shop,,Other
DELTA AIR LINES $439.50 Checked bag,,Transport
Micro Center,,Shopping
APPLE STORE PURCHASE $305.47,,Shopping
Boohoo,,Shopping
Amtrak,परिवहन,Transport
Redfin,Repair supplies,Housing
Guitar Lessons,تعليم,Education
PURCHASE AUTHORIZED Starbucks $30.74 Happy hour,,Food & Drink
Optometrist,здоровье,Healthcare
CPA,,Other
Krispy Kreme,Cake,Food & Drink
YouTube Premium,,Bills & Utilities
Kumon,Technology fee,Education
FEDEx SHIPPING $40.89 Handling,,Other
Enterprise Rent-A-Car,,Transport
Live Nation,엔터테인먼트,Entertainment
AMC THEATRES SAO PAULO $146.17,,Entertainment
Amusement Park,,Entertainment
Electrician,,Housing
Zelle,Prize,Income
Commission,Part-time work,Income
METRO TRANSIT $208.86 Lyft,,Transport
CARD 9263 PURCHASE The Halal Guys Weekend brunch,,Food & Drink
Various,Delivery,Other
PAYPAL TRANSFER $717.37 Rebate check,,Income
Rail Europe,Metro pass,Transport
Nothing Bundt Cakes,Business lunch,Food & Drink
MORTGAGE PAYMENT $940.00 Flooring,,Housing
The Cheesecake Factory,Frappuccino,Food & Drink
Water Company,,Bills & Utilities
BJ's Wholesale,Holiday gift,Shopping
Walmart Pharmacy,CPAP supplies,Healthcare
GOVERNMENT PAYMENT $67.29,,Other
Rental Car,Regular gas,Transport
Hobby Lobby,खरीदारी,Shopping
TICKETMASTER $180.92,,Entertainment
Furniture Store,дом,Housing
Water Park,Comedy show,Entertainment
USPS POSTAGE $54.53,,Other
Coursera,educación,Education
United Airlines,топливо,Transport
Warehouse,Daily purchase,Other
Rewards,einkommen,Income
DENTAL ASSOCIATES $1303.39,,Healthcare
FEDEx SHIPPING $28.99,,Other
County Tax,,Bills & Utilities
DELTA AIR LINES $143.21 Regular gas,,Transport
Habitat for Humanity,,Other
Dollar Rental,Premium gas,Transport
ONLINE PURCHASE Yo! Sushi.COM,,Food & Drink
Tesla Supercharger,Car wash,Transport
Laser Tag,Game purchase,Entertainment
RENT PAYMENT $2192.15,,Housing
LOWES #5850 $1749.46,,Housing
ACH CREDIT Shopify,,Income
DIRECT DEPOSIT PAYROLL $9978.05 State refund,,Income
Late Fee,,Other
LOWES #4523 $1812.13,,Housing
Stand-up Show,Film,Entertainment
Metro Card,Economy class,Transport
McDonald's,점심,Food & Drink
Waste Management,Administrative fee,Bills & Utilities
Disney+,Streaming,Entertainment
College,,Education
Kaiser Permanente,Procedure,Healthcare
Waste Management,,Bills & Utilities
Verizon Store,,Shopping
Ramen Ichiran,Wrap,Food & Drink
AUTOPAY VERIZON WIRELESS $349.13 Deductible,,Bills & Utilities
Wine Shop,Ice cream,Food & Drink
SAT Prep,Piano lesson,Education
AMC THEATRES HOUSTON $45.45 Film,,Entertainment
HOME DEPOT.COM $1004.61 Appliance,,Housing
SHELL OIL MUMBAI #8368 Car rental,,Transport
Retirement Distribution,,Income
Souplantation,,Food & Drink
BANK FEE $13.54,,Other
MEDICAL CENTER $944.16 Glasses,,Healthcare
Codecademy,Student fee,Education
WALGREENS #8777 $81.07 Consultation,,Healthcare
Disability,Investment return,Income
Republic Services,فواتير,Bills & Utilities
MEDICAL CENTER $412.52,,Healthcare
Central Computer,,Shopping
Plant Store,,Other
AMC THEATRES NEW YORK $149.21,,Entertainment
Public Storage,Repair,Housing
IRS TREAS 310 TAX REF,,Income
X-ray,Blood work,Healthcare
Hobby Lobby,Slippers,Shopping
Rite Aid,쇼핑,Shopping
GOVERNMENT PAYMENT $72.35,,Other
Water Park,развлечения,Entertainment
STEAM PURCHASE $138.56 Premium subscription,,Entertainment
ONLINE ORDER Micro Center,,Shopping
NIKE.COM ORDER PURCHASE Sandals,,Shopping
T-MOBILE AUTOPAY $218.04,,Bills & Utilities
La Taqueria,,Food & Drink
Vanpool,Bridge toll,Transport
Alaska Airlines,In-flight meal,Transport
Whole Foods,jantar,Food & Drink
Aspen Dental,,Healthcare
BEST BUY #1468 TOKYO Microtransaction,,Shopping
Live Nation,Pedicure,Entertainment
Public Transit,taxi,Transport
Alaska Airlines,Flight,Transport
VENMO CASHOUT $1416.47 Consulting,,Income
LinkedIn Learning,مدرسة,Education
Rental Income,Award,Income
AMC THEATRES DUBAI $107.39 Art show,,Entertainment
DIVIDEND YARD $2593.57,,Income
Retirement Distribution,remboursement,Income
Travelers,Monthly fee,Bills & Utilities
ONLINE PURCHASE Carl's Jr..COM,,Food & Drink
BEST BUY #1890 LOS ANGELES,,Shopping
Udemy,Application fee,Education
AMAZON.COM PURCHASE $440.95 Shoes,,Shopping
Flipkart,In-app purchase,Shopping
PROPERTY TAX $511.95,,Housing
Paintball,Concert,Entertainment
DIVIDEND E*TR $107.78,,Income
Amtrak,Taxi,Transport
RECURRING PAYMENT Sewer District,,Bills & Utilities
DOORDASH *Qdoba PURCHASE Weekend brunch,,Food & Drink
PHARMACY PURCHASE $1490.45 Surgery,,Healthcare
UNITED AIRLINES $729.41,,Transport
AUTOPAY VERIZON WIRELESS $114.39,,Bills & Utilities
Pet Hospital,Counseling,Healthcare
Adidas,Electronics,Shopping
Shake Shack,Sandwich,Food & Drink
UDEMY COURSE $1050.54,,Education
ACH CREDIT Employer Payroll Freelance work,,Income
PLURALSIGHT $997.49 Language class,,Education
DEBIT PURCHASE Verizon Store Gadgets,,Shopping
Facebook Marketplace Housing,hogar,Housing
Employer Inc.,,Income
Mercado Libre,T-shirt,Shopping
DIRECT DEBIT Health Insurance $40.23,,Bills & Utilities
Fuel,,Transport
Budget Truck,Move-in fee,Housing
Spirit,हवाई जहाज,Transport
Internet Bill,,Bills & Utilities
Mental Health,Procedure,Healthcare
Steam,,Shopping
COMCAST CABLE $248.51 Utility bill,,Bills & Utilities
QUEST DIAGNOSTICS $311.21 Dental work,,Healthcare
VOD,Play,Entertainment
Publix,,Food & Drink
Cathay Pacific,यात्रा,Transport
STOCK SALE CRYP $4242.26 Investment return,,Income
License Renewal,,Education
Gas Bill,Cable,Bills & Utilities
QUEST DIAGNOSTICS $922.77 Diabetic supplies,,Healthcare
Vivint,Electric bill,Bills & Utilities
Sauna,Bowling night,Entertainment
STEAM PURCHASE $158.97,,Entertainment
Appliance Store,loyer,Housing
Tidal,Art show,Entertainment
Longhorn Steakhouse,,Food & Drink
HOME DEPOT.COM $1479.08 Cleaning,,Housing
Vanguard,Annual tax refund,Income
Habitat for Humanity,Shipping,Other
LabCorp,,Healthcare
Xfinity,,Bills & Utilities
TJX,옷,Shopping
LOWES #3762 $1577.81,,Housing
Realtor.com,Hotel,Housing
Tax Return,Insurance payout,Income
ADT,बिल,Bills & Utilities
USAA,,Bills & Utilities
Chili's,Lunch,Food & Drink
Marshalls,Art supplies,Shopping
EA Play,Museum visit,Entertainment
Sewer District,請求書,Bills & Utilities
Art Gallery,,Entertainment
Opera,Live show,Entertainment
Go-Karts,Music,Entertainment
Amazon,,Shopping
PARKING HOUSTON $663.93 Street parking,,Transport
Appliance Store,,Housing
Ambulance,牙科,Healthcare
Concert,,Entertainment
Nest,Renovation,Housing
Ambulance,,Healthcare
CARD 3683 PURCHASE Tropical Smoothie,,Food & Drink
Con Edison,Water bill,Bills & Utilities
Jamba Juice,Cappuccino,Food & Drink
UBER *TRIP $28.24,,Transport
DoorDash Order,,Food & Drink
Pet Store,,Other
GMAT Prep,Dance class,Education
PLAYSTATION STORE $91.36 Meditation app,,Entertainment
Kaplan,школа,Education
Steam,,Entertainment
Cisco Learning,Textbook,Education
Facebook Marketplace,loyer,Housing
Chipotle Mexican Grill,comestibles,Food & Drink
Charity,Tithe,Other
UDEMY COURSE $1420.26 Test preparation,,Education
DENTAL ASSOCIATES $1403.67 Counseling,,Healthcare
Ring,Annual premium,Bills & Utilities
OneDrive,Late fee,Bills & Utilities
WESTERN UNION $184.52 Gift card purchase,,Other
Cash Back,Freelance payment,Income
MAINTENANCE Painting $2914.76 Rent,,Housing
Coffee Shop,Breakfast,Food & Drink
Brinks,Deductible,Bills & Utilities
Delta Airlines,,Transport
Card Game,Battle pass,Entertainment
ASOS,Phone case,Shopping
Gusto Payroll,Donation received,Income
Car2Go,Round trip,Transport
SSDI,salaire,Income
HOME DEPOT #3780 $1944.19 Hotel,,Housing
TICKETMASTER $59.34,,Entertainment
Lease Payment,топливо,Transport
Dermatologist,Medical visit,Healthcare
Chipotle STORE #9860 PURCHASE Breakfast,,Food & Drink
Seminar,Course,Education
MISC PURCHASE $161.87,,Other
Tutor,पाठ्यक्रम,Education
Textbook Store,Tuition,Education
Subscription Service,일반,Other
STEAM PURCHASE $157.90 Fair,,Entertainment
Sweetgreen,Fresh produce,Food & Drink
Gym Membership,Finance charge,Bills & Utilities
Fitness Class,Streaming subscription,Entertainment
Ophthalmologist,Vitamins,Healthcare
Hardwood,住宅,Housing
H&M,Phone case,Shopping
PHARMACY PURCHASE $739.54 Orthodontist,,Healthcare
Princeton Review,Certificate program,Education
Bass Pro Shops,商店,Shopping
Federal Refund,,Income
Garage Door,Utility deposit,Housing
COMCAST CABLE $301.26 Family plan,,Bills & Utilities
WAL-MART SUPERCENTER #1874,,Shopping
HOA Payment,Utility deposit,Housing
Plumber,Maintenance,Housing
Sprint,Broadband,Bills & Utilities
GOVERNMENT PAYMENT $118.77,,Other
Audible,,Entertainment
Deductible payment,,Healthcare
USPS POSTAGE $6.25 Certification,,Other
METRO TRANSIT $564.96,,Transport
Kroger,,Food & Drink
HOA DUES $1430.23 Lawn mowing,,Housing
Carpool,Auto payment,Transport
Disney+,,Entertainment
Gojek,Airport transfer,Transport
PLAYSTATION STORE $8.25 Season pass,,Entertainment
Venmo,Claim settlement,Income
DEBIT PURCHASE Bath & Body Works,,Shopping
Employer Payroll,,Income
Health Insurance,公共料金,Bills & Utilities
Nationwide,,Bills & Utilities
West End,,Entertainment
Psychologist,,Healthcare
Walmart Pharmacy,Glasses,Healthcare
AUTOPAY VERIZON WIRELESS $70.97,,Bills & Utilities
UDEMY COURSE $1422.91,,Education
Michaels,खरीदारी,Shopping
AAA,Fuel,Transport
PG&E ELECTRIC $82.63 Deductible,,Bills & Utilities
Museum,Movie ticket,Entertainment
Gusto Payroll,reembolso,Income
Shake Shack SUBSCRIPTION RENEWAL,,Food & Drink
Verizon,utilitaires,Bills & Utilities
Pluralsight,Textbook,Education
HOSPITAL BILL $264.99,,Healthcare
ACH CREDIT Yard Sale Freelance work,,Income
BANK FEE $153.86 Gift card purchase,,Other
Urgent Care,Medical visit,Healthcare
E*Trade,,Income
Remittance,Monthly subscription,Other
Attorney,diversos,Other
Gojek,Auto payment,Transport
Nordstrom,Earrings,Shopping
MEDICAL CENTER $68.41,,Healthcare
Flatiron School,Textbook,Education
Tax Payment,,Bills & Utilities
Yoga Studio,коммунальные,Bills & Utilities
Taco Bell,कॉफी,Food & Drink
BJ's Wholesale,Jacket,Shopping
ATM WITHDRAWAL FEE Tithe,,Other
UNITED AIRLINES $496.06 Bus fare,,Transport
Regal Cinemas,Art show,Entertainment
BANK FEE $85.81,,Other
DEBIT PURCHASE Retail Purchase,,Shopping
Etsy,Licensing,Income
VRBO,hipoteca,Housing
Tax Return,,Income
Life Insurance,,Bills & Utilities
Paychex,,Income
UBER *TRIP $564.73 Lyft,,Transport
BioReference,,Healthcare
Booking.com,,Housing
Apple TV+,,Entertainment
Flatiron School,,Education
Qatar Airways,,Transport
Retainer,,Income
USPS POSTAGE $148.38,,Other
Bonus Payment,付款,Income
WALGREENS #5217 $1181.65,,Healthcare
SKILLSHARE $398.26,,Education
NIKE.COM ORDER PURCHASE,,Shopping
GameStop,Necklace,Shopping
Xfinity,サブスクリプション,Bills & Utilities
Nando's,Alcohol,Food & Drink
NIKE.COM ORDER PURCHASE Camping,,Shopping
PLURALSIGHT $333.59,,Education
ACH CREDIT Bonus,,Income
Refund,Settlement check,Income
FEDEx SHIPPING $119.08,,Other
X-ray,pharmacie,Healthcare
WALGREENS #2103 $1356.59 Vitamins,,Healthcare
Walgreens,,Shopping
HOME DEPOT #8933 $2310.98 Tax payment,,Housing
Theme Park,,Entertainment
Costa Coffee,아침,Food & Drink
Tile,Home insurance,Housing
Smoothie King,ランチ,Food & Drink
MISC PURCHASE $48.90,,Other
DOORDASH *Zaxby's PURCHASE,,Food & Drink
DIVIDEND ROBI $1089.25 Gig economy,,Income
Dutch Bros,晚餐,Food & Drink
SPOTIFY USA $195.32 Fitness class,,Entertainment
Penske,Move-in fee,Housing
Bowling,खेल,Entertainment
HOA DUES $1306.55,,Housing
Psychiatrist,Braces,Healthcare
LYFT RIDES $642.30 Annual pass,,Transport
Chevron,транспорт,Transport
At Home,,Shopping
Dishoom SUBSCRIPTION RENEWAL,,Food & Drink
Nike,منزل,Shopping
Planned Parenthood,больница,Healthcare
GEICO PAYMENT $60.27,,Bills & Utilities
UNIVERSITY TUITION $921.33,,Education
Apple Music,Monitoring fee,Bills & Utilities
Radiology Associates,,Healthcare
Carpet,,Housing
RECURRING PAYMENT Planet Fitness,,Bills & Utilities
MORTGAGE PAYMENT $2499.86 Lawn mowing,,Housing
METRO TRANSIT $209.60 Gas,,Transport
Smoothie Bar,,Food & Drink
PayPal,,Income
U-Haul,Airbnb stay,Housing
LensCrafters,,Healthcare
Verizon,مرافق,Bills & Utilities
Post Office,,Other
Pest Control,Property tax,Housing
Mayo Clinic,krankenhaus,Healthcare
Locksmith,,Housing
AMAZON.COM PURCHASE $227.90 Microtransaction,,Shopping
iCloud,Gas bill,Bills & Utilities
ONLINE PURCHASE Shake Shack.COM,,Food & Drink
SKILLSHARE $433.18 Grant,,Education
IRCTC,самолет,Transport
COURSERA PURCHASE $1104.35,,Education
Airbnb,,Income
Mortgage,,Housing
PayPal,付款,Income
Employer Payroll,Settlement check,Income
UBER EATS *Burger King PURCHASE Brunch,,Food & Drink
Termite Treatment,Remodel,Housing
Duolingo,,Education
Roofing,reparación,Housing
Betting,,Entertainment
Smart Home,,Housing
Model building,Movie,Entertainment
HOA DUES $906.98,,Housing
Festival pass,стриминг,Entertainment
AMAZON.COM PURCHASE $268.50,,Shopping
DEBIT CARD PURCHASE Coffee Shop,,Food & Drink
AUTOPAY VERIZON WIRELESS $294.91,,Bills & Utilities
METRO TRANSIT $229.18,,Transport
BANK FEE $180.03,,Other
Carpool,táxi,Transport
AMC THEATRES TORONTO $91.67 Music streaming,,Entertainment
HOME DEPOT.COM $656.78,,Housing
DEBIT PURCHASE Microsoft Store,,Shopping
U-Haul,,Housing
Buffalo Wild Wings,저녁,Food & Drink
BEST BUY #9707 TORONTO,,Shopping
Orthopedist,,Healthcare
EXXON MOBIL #8105,,Transport
COMCAST CABLE $194.56,,Bills & Utilities
Community College,,Education
Freelance Client,Freelance payment,Income
Avis,,Transport
TARGET T-1410 PURCHASE App purchase,,Shopping
Sears Optical,,Healthcare
Indian Railways,,Transport
Airbnb,Direct deposit,Income
ONLINE ORDER Overstock,,Shopping
COMCAST CABLE $160.83,,Bills & Utilities
STEAM PURCHASE $47.66 Digital purchase,,Entertainment
DEBIT PURCHASE Flipkart,,Shopping
Termite Treatment,,Housing
Oil Change,,Transport
TICKETMASTER $114.76 Facial,,Entertainment
Bond Maturity,,Income
LIVE NATION $178.49,,Entertainment
Kate Spade,vêtements,Shopping
Megabus,نقل,Transport
Coursera Plus,,Education
Freelance Client,,Income
Allstate,Standing order,Bills & Utilities
NIKE.COM ORDER PURCHASE Retail,,Shopping
Redfin,家,Housing
DIRECT DEPOSIT PAYROLL $2128.20 Refund,,Income
UPS SHIPPING $136.37,,Other
Discovery+,मनोरंजन,Entertainment
Mosque,Prepaid load,Other
Moe's Southwest Grill,,Food & Drink
BANK FEE $9.92 Accounting,,Other
Bank Fee,Daycare,Other
Nykaa,Speaker,Shopping
Ticketmaster,Game night,Entertainment
STATE FARM INS $249.59,,Bills & Utilities
UBER *TRIP $259.82 Vehicle lease,,Transport
FiOS,Administrative fee,Bills & Utilities
Test Prep,Tuition payment,Education
Vision Center,,Healthcare
Bath & Body Works,Makeup,Shopping
Guitar Lessons,école,Education
Remittance,,Other
Bonus Payment,Commission,Income
Rentokil,,Housing
Grooming,Kennel,Other
Water Company,Family plan,Bills & Utilities
Duke Energy,Auto-pay,Bills & Utilities
Samsung,,Shopping
Travelers,Standing order,Bills & Utilities
Wendy's,merceria,Food & Drink
Skillshare,,Education
Toptal,Coaching,Income
Certification Program,دورة,Education
Movie rental,流媒体,Entertainment
Surgery,,Healthcare
COURSERA PURCHASE $1377.23 Dance class,,Education
REI,Coat,Shopping
AT&T Store,School supplies,Shopping
SAT Prep,Textbook,Education
Pret A Manger,咖啡,Food & Drink
Google Career Certificates,SAT prep,Education
Hobby Lobby,Clothing,Shopping
Severance,Points redemption,Income
SPOTIFY USA $39.70,,Entertainment
Community College,Online course,Education
Mosquito Control,Airbnb stay,Housing
Lambda School,,Education
Content subscription,,Entertainment
Property Management Co.,Hotel,Housing
Condo Fee,,Housing
XBOX LIVE $181.01 Live music,,Entertainment
Refund,راتب,Income
H-E-B,Weekly groceries,Food & Drink
Robinhood,収入,Income
PARKING CHICAGO $648.40 Express lane,,Transport
LOWES #5080 $2723.63,,Housing
AMAZON.COM PURCHASE $96.52 Dress,,Shopping
Museum,juegos,Entertainment
License Fee,Donation received,Income
CARD 3466 PURCHASE Sweet Tomatoes Morning coffee,,Food & Drink
HOME DEPOT #4709 $2725.03,,Housing
Yo! Sushi STORE #9107 PURCHASE Espresso,,Food & Drink
WAL-MART SUPERCENTER #6613,,Shopping
YouTube Premium,Cable,Bills & Utilities
Medical bill,LASIK,Healthcare
WAL-MART SUPERCENTER #2012,,Shopping
RENT PAYMENT $1817.42,,Housing
Enterprise Rent-A-Car,Diesel,Transport
METRO TRANSIT $7.61,,Transport
DEBIT CARD PURCHASE Walmart Latte,,Food & Drink
CVS PHARMACY #8899 $959.58 Wellness visit,,Healthcare
Casino,Live music,Entertainment
Prepaid plan,,Bills & Utilities
RENT PAYMENT $1087.55 Repair supplies,,Housing
Certification Program,,Education
STATE FARM INS $30.63 Overdue payment,,Bills & Utilities
Data plan,,Bills & Utilities
Freelancer.com,Bonus,Income
Kumon,,Education
American Home Shield,주택,Housing
Hard Rock Cafe,Steak,Food & Drink
IRS TREAS 310 TAX REF GoFundMe,,Income
Brilliant,Cooking class,Education
DELTA AIR LINES $468.75,,Transport
HOME DEPOT #3442 $1529.89 HOA fee,,Housing
DIRECT DEBIT Water Bill $335.48,,Bills & Utilities
iHeartRadio,,Entertainment
Art Gallery,音楽,Entertainment
Republic Services,Monthly fee,Bills & Utilities
General Assembly,escuela,Education
Pet Boarding,Babysitting,Other
DEBIT PURCHASE Central Computer Art supplies,,Shopping
COMCAST CABLE $171.96 Gas bill,,Bills & Utilities
IRCTC,出租车,Transport
UNITED AIRLINES $163.58 Flight,,Transport
SCHOOL PAYMENT $601.30 Test preparation,,Education
DIRECT DEBIT Electric Bill $294.97,,Bills & Utilities
UNIVERSITY TUITION $512.33 Books,,Education
Mosquito Control,,Housing
Mount Sinai,,Healthcare
Commission,,Income
Penalty,أخرى,Other
Condo Fee,家賃,Housing
Roofing,,Housing
Treehouse,Financial aid,Education
USPS,Misc purchase,Other
Pet Boarding,,Other
ATM Fee,misceláneos,Other
Gusto Payroll,Shop earnings,Income
Popeyes,,Food & Drink
Squarespace,,Income
ACH CREDIT Refund Stock dividend,,Income
Stanford Online,Books,Education
Khan Academy,Cooking class,Education
Pool Service,loyer,Housing
Comixology,मनोरंजन,Entertainment
Deezer,musik,Entertainment
App Academy,,Education
Trade School,كتب,Education
Deezer,,Entertainment
USPS POSTAGE $12.98 Infraction,,Other
BP,Parking daily,Transport
Shell,,Transport
Public Storage,Utility deposit,Housing
Disney+,,Bills & Utilities
BEST BUY #5166 MUMBAI,,Shopping
CT scan,X-ray,Healthcare
METRO TRANSIT $244.86,,Transport
