merchant,description,category
DELTA AIR LINES $738.35,,Transport
West Elm,,Shopping
Gojek,Airport transfer,Transport
Phone Bill,Broadband,Bills & Utilities
MEDICAL CENTER $517.59 Pet medication,,Healthcare
Treehouse,kurs,Education
Insurance Premium,Fiber,Bills & Utilities
Tip,Sublease,Income
Airbnb,,Housing
DENTAL ASSOCIATES $250.59,,Healthcare
CHEGG STUDY $1425.50,,Education
ACH CREDIT Lottery Winnings,,Income
Rail Europe,Highway toll,Transport
Con Edison,Broadband,Bills & Utilities
STATE FARM INS $263.39,,Bills & Utilities
VENMO CASHOUT $7598.57,,Income
Prize Money,pago,Income
Dentist,Urgent care,Healthcare
Radiology Associates,,Healthcare
NETFLIX.COM $80.84 Fitness class,,Entertainment
UNITED AIRLINES $459.86 Ride share,,Transport
CVS PHARMACY #5130 $1496.66 Pet medication,,Healthcare
UBER EATS *Pret A Manger PURCHASE Snack,,Food & Drink
UPS SHIPPING $165.84,,Other
Johns Hopkins,Filling,Healthcare
BOOK STORE $480.24,,Education
Radiology Associates,медицина,Healthcare
APPLE STORE PURCHASE $492.92,,Shopping
TICKETMASTER $48.29,,Entertainment
CARD 2431 PURCHASE Insomnia Cookies,,Food & Drink
RENT PAYMENT $800.23,,Housing
Yoga,kino,Entertainment
VENMO CASHOUT $3142.03,,Income
Tonkotsu Ramen,Fries,Food & Drink
Chick-fil-A,食事,Food & Drink
GoFundMe,,Other
Greyhound,топливо,Transport
CHEGG STUDY $755.22 Scholarship,,Education
MEDICAL CENTER $508.64 Root canal,,Healthcare
PARKING HOUSTON $603.58,,Transport
Tutoring Center,SAT prep,Education
DENTAL ASSOCIATES $798.15,,Healthcare
Temple,مختلف,Other
Tax Preparer,General expense,Other
GCP Training,大学,Education
DELTA AIR LINES $488.98,,Transport
Trulia,Smart home,Housing
Metro,Car rental,Transport
TARGET T-7496 PURCHASE Retail,,Shopping
AMC THEATRES TORONTO $10.42 Manicure,,Entertainment
Clinic,Supplement,Healthcare
Freelancer.com,Paycheck,Income
Miscellaneous,Contribution,Other
Harvard Extension,Online learning,Education
Budget Truck,Decor,Housing
Prize Money,Settlement check,Income
Federal Refund,Points redemption,Income
Vivid Seats,Concert,Entertainment
Coinbase,IRS refund,Income
Restoration Hardware,Toys,Shopping
Shell,Daily commute,Transport
JioMart,ملابس,Shopping
Sylvan Learning,Diploma,Education
IRS TREAS 310 TAX REF Prize,,Income
Live Nation,Pedicure,Entertainment
PHARMACY PURCHASE $1498.23,,Healthcare
In-N-Out Burger,Groceries,Food & Drink
PG&E,請求書,Bills & Utilities
Best Buy,casa,Shopping
Habitat for Humanity,Stamp,Other
Tax Return,Contract work,Income
Convenience Fee,Other,Other
SCHOOL PAYMENT $864.70 Art class,,Education
Delta Airlines,Seat upgrade,Transport
TARGET T-9045 PURCHASE Cable,,Shopping
Realtor.com,Hotel,Housing
VENMO CASHOUT $9302.85,,Income
STATE TREASURY REFUND Patent income,,Income
WALGREENS #4646 $610.29 CPAP supplies,,Healthcare
Doctor,медицина,Healthcare
Verizon,보험,Bills & Utilities
Google Career Certificates,Language class,Education
Craft supplies,Series,Entertainment
El Pollo Loco,,Food & Drink
Childcare,أخرى,Other
STOCK SALE FIVE $359.45,,Income
Lawyer,Filing fee,Other
DIRECT DEBIT Phone Bill $328.50,,Bills & Utilities
TaskRabbit,Move-in fee,Housing
DMV,Scanning,Other
MAINTENANCE Handyman $2067.88 Deep clean,,Housing
UBER EATS *Yo! Sushi PURCHASE Iced Coffee,,Food & Drink
HOA Payment,Hotel,Housing
Wire Transfer Fee,,Other
IHOP,,Food & Drink
Airline Ticket,,Transport
Treehouse,universität,Education
Barnes & Noble,Art show,Entertainment
Hawaiian Airlines,,Transport
ACH CREDIT Garage Sale Gift card redemption,,Income
GOVERNMENT PAYMENT $5.66 Stamp,,Other
JioMart,منزل,Shopping
Regal Cinemas,Art show,Entertainment
PG&E ELECTRIC $60.60 Cable,,Bills & Utilities
RECURRING PAYMENT OneDrive,,Bills & Utilities
Thrifty,Oil change,Transport
SCHOOL PAYMENT $210.75 Monthly subscription,,Education
JetBlue,viagem,Transport
SCHOOL PAYMENT $403.55 Monthly subscription,,Education
Emirates,voyage,Transport
CARD 5445 PURCHASE Krispy Kreme,,Food & Drink
PLURALSIGHT $543.97 Degree program,,Education
Car Wash,سفر,Transport
RENT PAYMENT $2245.98 Furniture,,Housing
Exxon,In-flight meal,Transport
Employer Inc.,Investment return,Income
T-MOBILE AUTOPAY $125.41 Software subscription,,Bills & Utilities
Donation,Unit rental,Other
UNIVERSITY TUITION $71.11,,Education
Lawn Care,Packing,Housing
freeCodeCamp,Technology fee,Education
Brake Service,First class,Transport
Longhorn Steakhouse,Counter service,Food & Drink
PlayStation Store,Movie,Entertainment
Shake Shack,食料品,Food & Drink
ATM WITHDRAWAL FEE Transfer,,Other
STEAM PURCHASE $104.37,,Entertainment
GOVERNMENT PAYMENT $62.83,,Other
Del Taco,,Food & Drink
DIRECT DEBIT Disney+ $114.86,,Bills & Utilities
MEDICAL CENTER $930.90,,Healthcare
Service Charge,разное,Other
PG&E ELECTRIC $224.37 Cable,,Bills & Utilities
Reebok,,Shopping
DIRECT DEBIT Allstate $239.40 Broadband,,Bills & Utilities
SKILLSHARE $976.32 Scholarship,,Education
Zalando,T-shirt,Shopping
D&D Session,Audiobook,Entertainment
XBOX LIVE $45.81 Family plan,,Entertainment
Bath & Body Works,Sports equipment,Shopping
Freelancer.com,Bonus,Income
ONLINE PURCHASE La Taqueria.COM Burger,,Food & Drink
RENT PAYMENT $2469.50,,Housing
Refund,salaire,Income
MORTGAGE PAYMENT $940.00 Flooring,,Housing
Lowe's,Skincare,Shopping
TNT,विभिन्न,Other
STOCK SALE ADP  $2305.52 Freelance payment,,Income
County Tax,Monthly premium,Bills & Utilities
Chipotle,Frappuccino,Food & Drink
IHOP,épicerie,Food & Drink
Government,general,Other
Etsy,कपड़े,Shopping
PLURALSIGHT $1701.03 Student loan,,Education
Newegg,App purchase,Shopping
Brilliant,,Education
COURSERA PURCHASE $1644.74 Tech course,,Education
Remittance,مختلف,Other
Rainforest Cafe,Fries,Food & Drink
UNITED AIRLINES $605.08,,Transport
National Car Rental,One way,Transport
Apple Store,Clothes,Shopping
Naan Stop,नाश्ता,Food & Drink
PHARMACY PURCHASE $1004.77,,Healthcare
Cox Communications,abonnement,Bills & Utilities
UNITED AIRLINES $688.60 Flight ticket,,Transport
Severance,給与,Income
SeatGeek,,Entertainment
UBER *TRIP $536.24,,Transport
PAYPAL TRANSFER $5091.04 GoFundMe,,Income
Biryani Palace,Burrito,Food & Drink
Five Below,Coat,Shopping
401k Distribution,зарплата,Income
Longhorn Steakhouse,Late night snack,Food & Drink
Bond Maturity,Stock dividend,Income
Music School,Study guide,Education
Mental Health,Eye exam,Healthcare
Mechanic,Business class,Transport
PHARMACY PURCHASE $849.97,,Healthcare
Goethe Institut,课程,Education
Yoga Studio,Standing order,Bills & Utilities
Babysitter,otros,Other
AMAZON.COM PURCHASE $275.35 Apparel,,Shopping
edX,Student loan,Education
XBOX LIVE $28.15,,Entertainment
Redfin,家,Housing
Tax Return,reembolso,Income
COMCAST CABLE $301.26 Family plan,,Bills & Utilities
METRO TRANSIT $410.80 Airport transfer,,Transport
School Supplies,Martial arts,Education
Souplantation,,Food & Drink
Internet Bill,公共料金,Bills & Utilities
Miscellaneous,Misc purchase,Other
CVS PHARMACY #8670 $182.87,,Healthcare
Oil Change,Premium gas,Transport
Dunkin',Coffee,Food & Drink
Rehab Associates,LASIK,Healthcare
PG&E ELECTRIC $290.52 Service charge,,Bills & Utilities
QUEST DIAGNOSTICS $754.41,,Healthcare
LOWES #5080 $2723.63,,Housing
STEAM PURCHASE $148.01,,Entertainment
UNIVERSITY TUITION $723.90 Study material,,Education
Recycling,Administrative fee,Bills & Utilities
Accountant,Prepaid load,Other
Tonkotsu Ramen,,Food & Drink
Blood test,طبي,Healthcare
Caffe Nero,रात का खाना,Food & Drink
Myntra,買い物,Shopping
POS PURCHASE Lidl SYDNEY Frappuccino,,Food & Drink
UNIVERSITY TUITION $1105.66 Monthly subscription,,Education
Renters Insurance,Broadband,Bills & Utilities
ACH CREDIT Yard Sale,,Income
Retirement Distribution,remboursement,Income
Renters Insurance,Subscription,Bills & Utilities
Gift Money,Monthly salary,Income
Five Below,Office supplies,Shopping
MinuteClinic,krankenhaus,Healthcare
MORTGAGE PAYMENT $812.09,,Housing
PARKING SYDNEY $754.57,,Transport
Dick's Sporting Goods,Gadgets,Shopping
Direct Energy,servicios,Bills & Utilities
Window Repair,बंधक,Housing
Prize Money,Shop earnings,Income
Planet Fitness,,Bills & Utilities
FEDEx SHIPPING $116.82,,Other
SPOTIFY USA $97.40,,Entertainment
Reliant Energy,Standing order,Bills & Utilities
GOVERNMENT PAYMENT $14.33 Prepaid load,,Other
Sephora,전자제품,Shopping
EXXON MOBIL #9788,,Transport
Seafood Market,Tea,Food & Drink
Coursera Plus,Dance class,Education
FedEx,Miscellaneous,Other
Skillshare,大学,Education
Direct Deposit,Dividend payment,Income
GOVERNMENT PAYMENT $73.77,,Other
MinuteClinic,,Healthcare
TNT,Handling,Other
Amazon,,Shopping
PetCare,Braces,Healthcare
Wingstop,,Food & Drink
FEDEx SHIPPING $93.20 Storage rental,,Other
PG&E ELECTRIC $45.79,,Bills & Utilities
PlayStation Store,Video games,Entertainment
AUTOPAY VERIZON WIRELESS $116.36 Mobile plan,,Bills & Utilities
CHEGG STUDY $128.04,,Education
SimpliSafe,Installation fee,Bills & Utilities
CVS PHARMACY #8069 $144.15,,Healthcare
SoundCloud,DLC,Entertainment
Garage Door,Move-in fee,Housing
Kumon,Tuition,Education
UPS SHIPPING $183.39,,Other
PROPERTY TAX $614.46,,Housing
Car Rental,Toll,Transport
BOOK STORE $1372.61,,Education
DoorDash Order,عشاء,Food & Drink
HOME DEPOT.COM $1270.98,,Housing
Auto Repair,Flight ticket,Transport
Bonus Payment,Commission,Income
T-Mobile,Auto-pay,Bills & Utilities
Walmart,geschäft,Shopping
Plant Store,Fine payment,Other
JioMart,Jacket,Shopping
Budget Truck,إصلاح,Housing
EXXON MOBIL #5817 Charging,,Transport
Etsy,Skincare,Shopping
Restoration Hardware,Kitchenware,Shopping
Pizza Hut,,Food & Drink
Refund,Refund,Income
Rite Aid,,Shopping
Amazon Locker,Storage rental,Other
Blood test,अस्पताल,Healthcare
Rebate,,Income
LYFT RIDES $561.48 Lyft,,Transport
HOME DEPOT #4103 $1331.73,,Housing
DIVIDEND EMPL $5082.37,,Income
Tidal,संगीत,Entertainment
Whole Foods,Groceries,Food & Drink
STATE TREASURY REFUND Paycheck,,Income
Plumbing,,Housing
USPS POSTAGE $134.10 Consultation,,Other
Verizon Store,Purchase,Shopping
Thumbtack,Home insurance,Housing
Biryani Palace,ужин,Food & Drink
Greyhound,,Transport
Gojek,Inspection,Transport
Gambling,Babysitting,Other
Olive Garden,Sandwich,Food & Drink
EA Play,,Entertainment
SCHOOL PAYMENT $1308.07,,Education
Michaels,,Shopping
Xbox Game Pass,,Entertainment
DIRECT DEBIT YouTube Premium $319.01,,Bills & Utilities
Starbucks,Counter service,Food & Drink
Netflix,Processing fee,Bills & Utilities
Flooring,住房,Housing
QUEST DIAGNOSTICS $1007.89 Extraction,,Healthcare
Photography,सिनेमा,Entertainment
USPS POSTAGE $198.41,,Other
LeetCode,Study guide,Education
